DateTime	Actor	Recipient	Behavior	Category	Duration	Point
08/07/2019 15:25	MAKO		Invisible	Other	6	NO
08/07/2019 15:25	MAKO		Other	Other	14	NO
08/07/2019 15:25	MAKO	MALI	Playing with	Affiliative	14	NO
08/07/2019 15:25	MAKO	LOME	Playing with	Affiliative	14	NO
08/07/2019 15:26	MAKO	MALI	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	LOME	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	LIPS	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	MALI	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	LIPS	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	MAKO	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	LOME	Playing with	Affiliative	20	NO
08/07/2019 15:26	MAKO	NEKKE	Playing with	Affiliative	20	NO
08/07/2019 15:26	HARLEM		Other	Other	39	NO
08/07/2019 15:27	HARLEM		Resting	Affiliative	215	NO
08/07/2019 15:31	HARLEM		Other	Other	39	NO
08/07/2019 15:31	HARLEM		Invisible	Other	4	NO
08/07/2019 15:32	ARIELLE		Invisible	Other	300	NO
08/07/2019 15:37	ATMOSPHERE		Other	Other	301	NO
08/07/2019 15:41	HARLEM	ATMOSPHERE	Presenting	Affiliative	0	YES
08/07/2019 15:42	FANA	FELIPE	Resting	Affiliative	40	NO
08/07/2019 15:42	FANA	ANGELE	Resting	Affiliative	40	NO
08/07/2019 15:42	FANA	EWINE	Resting	Affiliative	40	NO
08/07/2019 15:42	FANA		Resting	Affiliative	10	NO
08/07/2019 15:43	FANA		Other	Other	68	NO
08/07/2019 15:44	EWINE	FANA	Presenting	Affiliative	0	YES
08/07/2019 15:44	FANA	EWINE	Grooming	Affiliative	182	NO
08/07/2019 15:47	FELIPE		Resting	Affiliative	85	NO
08/07/2019 15:48	MUSE	FELIPE	Presenting	Affiliative	0	YES
08/07/2019 15:48	MUSE	FELIPE	Grunting-Lipsmacking	Affiliative	0	YES
08/07/2019 15:48	MUSE	FELIPE	Grooming	Affiliative	6	NO
08/07/2019 15:48	FELIPE		Resting	Affiliative	45	NO
08/07/2019 15:49	FELIPE		Other	Other	16	NO
08/07/2019 15:50	FELIPE		Resting	Affiliative	59	NO
08/07/2019 15:51	FELIPE	LOME	Resting	Affiliative	9	NO
08/07/2019 15:51	FELIPE		Resting	Affiliative	76	NO
08/07/2019 15:52	ANGELE		Other	Other	21	NO
08/07/2019 15:52	ANGELE	EWINE	Resting	Affiliative	60	NO
08/07/2019 15:53	ANGELE		Other	Other	24	NO
08/07/2019 15:54	ANGELE		Resting	Affiliative	188	NO
08/07/2019 15:57	ANGELE		Other	Other	7	NO
08/07/2019 15:57	PIPO		Invisible	Other	56	NO
08/07/2019 15:58	PIPO		Other	Other	2	NO
08/07/2019 15:58	PIPO		Invisible	Other	61	NO
08/07/2019 15:59	PIPO		Other	Other	46	NO
08/07/2019 16:00	PIPO	PETOULETTE	Resting	Affiliative	4	NO
08/07/2019 16:00	PIPO		Other	Other	36	NO
08/07/2019 16:01	PIPO	ATMOSPHERE	Resting	Affiliative	21	NO
08/07/2019 16:01	PIPO		Other	Other	28	NO
08/07/2019 16:02	PIPO	PETOULETTE	Presenting	Affiliative	0	YES
08/07/2019 16:02	PIPO	PETOULETTE	Mounting	Affiliative	0	YES
08/07/2019 16:02	PIPO		Other	Other	2	NO
08/07/2019 16:02	PETOULETTE	PIPO	Grooming	Affiliative	32	NO
08/07/2019 16:02	LOME		Other	Other	4	NO
08/07/2019 16:02	LOME	MAKO	Resting	Affiliative	73	NO
